hyperlinked_billnum,sponsor,broad_subject_name,title,current_status,hyperlinked_xfile
<a href='https://mgaleg.maryland.gov/mgawebsite/Legislation/Details/SB0152?ys=2025RS' target='_blank'>SB0152</a>,Senator West,Criminal Law - Procedures,Criminal Law - Crimes Relating to Animals - Conviction and Sentencing,Returned Passed,<a href='https://mgaleg.maryland.gov/mgawebsite/Legislation/Details/HB0089?ys=2025RS' target='_blank'>HB0089</a>
<a href='https://mgaleg.maryland.gov/mgawebsite/Legislation/Details/SB0158?ys=2025RS' target='_blank'>SB0158</a>,Senator West,Estates and Trusts,Estates and Trusts - Maryland Trust Decanting Act - Notification and Document Transmittal,Returned Passed,<a href='https://mgaleg.maryland.gov/mgawebsite/Legislation/Details/HB0088?ys=2025RS' target='_blank'>HB0088</a>
<a href='https://mgaleg.maryland.gov/mgawebsite/Legislation/Details/SB0170?ys=2025RS' target='_blank'>SB0170</a>,Senator West,Criminal Law - Substantive Crimes,Criminal Law - Benefits Exploitation,Hearing 1/21 at 2:30 p.m.,<a href='https://mgaleg.maryland.gov/mgawebsite/Legislation/Details/HB0187?ys=2025RS' target='_blank'>HB0187</a>
<a href='https://mgaleg.maryland.gov/mgawebsite/Legislation/Details/SB0180?ys=2025RS' target='_blank'>SB0180</a>,Senator West,Public Safety,Public Safety - Handgun Permits - Expiration and Renewal Periods for Retired Law Enforcement Officer,First Reading Judiciary,<a href='https://mgaleg.maryland.gov/mgawebsite/Legislation/Details/HB0171?ys=2025RS' target='_blank'>HB0171</a>
<a href='https://mgaleg.maryland.gov/mgawebsite/Legislation/Details/SB0286?ys=2025RS' target='_blank'>SB0286</a>,Senator West,Estates and Trusts,Domestic Partnership and Marriage - Required Information,Returned Passed,<a href='https://mgaleg.maryland.gov/mgawebsite/Legislation/Details/HB0323?ys=2025RS' target='_blank'>HB0323</a>
<a href='https://mgaleg.maryland.gov/mgawebsite/Legislation/Details/SB0287?ys=2025RS' target='_blank'>SB0287</a>,Senator West,Criminal Law - Substantive Crimes,Criminal Law - Interference With Access to or Egress From a Religious Facility - Prohibition,Hearing 1/30 at 1:00 p.m.,<a href='https://mgaleg.maryland.gov/mgawebsite/Legislation/Details/HB0305?ys=2025RS' target='_blank'>HB0305</a>
<a href='https://mgaleg.maryland.gov/mgawebsite/Legislation/Details/SB0333?ys=2025RS' target='_blank'>SB0333</a>,Senator West,Criminal Law - Procedures,Criminal Procedure - Victims and Witnesses - Out of Court Statement of Child to Forensic Interviewer,First Reading House Rules and Executive Nominations,<a href='https://mgaleg.maryland.gov/mgawebsite/Legislation/Details/HB0442?ys=2025RS' target='_blank'>HB0442</a>
<a href='https://mgaleg.maryland.gov/mgawebsite/Legislation/Details/SB0473?ys=2025RS' target='_blank'>SB0473</a>,Senator West,Agriculture,Agriculture - Maryland Food and Agricultural Resiliency Mechanism Grant Program - Expansion,"Hearing 2/18 at 1:00 p.m. (Education, Energy, and the Environment)",None
<a href='https://mgaleg.maryland.gov/mgawebsite/Legislation/Details/SB0606?ys=2025RS' target='_blank'>SB0606</a>,Senator West,Real Property,Residential Real Property - Tenants' Right of First Refusal,Returned Passed,<a href='https://mgaleg.maryland.gov/mgawebsite/Legislation/Details/HB0872?ys=2025RS' target='_blank'>HB0872</a>
<a href='https://mgaleg.maryland.gov/mgawebsite/Legislation/Details/SB0607?ys=2025RS' target='_blank'>SB0607</a>,Senator West,Health Occupations,Human Remains - Transportation Protection Agreements,Unfavorable Report by Finance; Withdrawn,<a href='https://mgaleg.maryland.gov/mgawebsite/Legislation/Details/HB1220?ys=2025RS' target='_blank'>HB1220</a>
